Spectrum_Test_#170_B1-10.0keV_2023-01-11_04-19-28_pm
Test
526,"509"
527,"418"
528,"376"
529,"388"
530,"392"
531,"462"
532,"585"
533,"715"
534,"846"
535,"976"
536,"1114"
537,"1132"
538,"1094"
539,"1034"
540,"960"
541,"888"
542,"814"
543,"802"
544,"733"
545,"716"
546,"730"
547,"640"
548,"578"
549,"553"
550,"487"
551,"439"
552,"454"
553,"408"
554,"359"
555,"377"
556,"346"
557,"323"
558,"308"
559,"284"
560,"280"
561,"286"
562,"308"
563,"308"
564,"275"
565,"286"
566,"279"
567,"323"
568,"323"
569,"296"
570,"323"
571,"299"
572,"279"
573,"274"
574,"313"
575,"290"
576,"294"
577,"279"
578,"299"
579,"277"
580,"291"
581,"298"
582,"287"
583,"271"
584,"212"
585,"240"
586,"256"
587,"271"
588,"267"
589,"233"
590,"277"
591,"287"
592,"284"
593,"258"
594,"240"
595,"229"
596,"221"
597,"245"
598,"239"
599,"242"
600,"228"
601,"210"
602,"260"
603,"250"
604,"211"
605,"209"
606,"226"
607,"237"
608,"242"
609,"248"
610,"284"
611,"319"
612,"320"
613,"320"
614,"313"
615,"337"
616,"318"
617,"298"
618,"296"
619,"259"
620,"267"
621,"271"
622,"213"
623,"177"
624,"185"
625,"224"
626,"234"
627,"231"
628,"273"
629,"311"
630,"400"
631,"495"
632,"753"
633,"1039"
634,"1376"
635,"1897"
636,"2291"
637,"2708"
638,"2958"
639,"3158"
640,"3150"
641,"2831"
642,"2533"
643,"2145"
644,"1684"
645,"1332"
646,"915"
647,"658"
648,"541"
649,"370"
650,"265"
651,"237"
652,"217"
653,"178"
654,"186"
655,"171"
656,"184"
657,"177"
658,"186"
659,"186"
660,"207"
661,"225"
662,"238"
663,"271"
664,"318"
665,"374"
666,"490"
667,"575"
668,"702"
669,"842"
670,"995"
671,"996"
672,"993"
673,"1024"
674,"908"
675,"852"
676,"698"
677,"554"
678,"435"
679,"295"
680,"266"
681,"199"
682,"185"
683,"160"
684,"135"
685,"132"
686,"129"
687,"113"
688,"117"
689,"119"
690,"108"
691,"131"
692,"129"
693,"109"
694,"121"
695,"98"
696,"124"
697,"108"
698,"122"
699,"136"
700,"134"
701,"148"
702,"155"
703,"146"
704,"152"
705,"148"
706,"154"
707,"136"
708,"128"
709,"143"
710,"112"
711,"122"
712,"96"
713,"106"
714,"100"
715,"94"
716,"80"
717,"78"
718,"100"
719,"92"
720,"86"
721,"82"
722,"86"
723,"98"
724,"103"
725,"96"
726,"102"
727,"90"
728,"90"
729,"85"
730,"96"
731,"92"
732,"87"
733,"89"
734,"83"
735,"80"
736,"81"
737,"72"
738,"75"
739,"70"
740,"73"
741,"68"
742,"65"
743,"65"
744,"65"
745,"67"
746,"72"
747,"60"
748,"67"
749,"77"
750,"50"
751,"66"
752,"76"
753,"66"
754,"64"
755,"58"
756,"63"
757,"84"
758,"71"
759,"64"
760,"63"
761,"79"
762,"66"
763,"60"
764,"56"
765,"69"
766,"60"
767,"67"
768,"56"
769,"49"
770,"46"
771,"50"
772,"60"
773,"45"
774,"61"
775,"53"
776,"41"
777,"47"
778,"36"
779,"42"
780,"43"
781,"43"
782,"48"
783,"41"
784,"45"
785,"36"
786,"47"
787,"40"
788,"45"
789,"41"
790,"49"
791,"36"
792,"42"
793,"23"
794,"40"
795,"31"
796,"37"
797,"41"
798,"25"
799,"34"
800,"26"
801,"31"
802,"31"
803,"35"
804,"24"
805,"24"
806,"27"
807,"22"
808,"27"
809,"28"
810,"26"
811,"20"
812,"18"
813,"19"
814,"18"
815,"23"
816,"21"
817,"33"
818,"29"
819,"30"
820,"31"
821,"32"
822,"31"
823,"36"
824,"29"
825,"30"
826,"28"
827,"19"
828,"18"
829,"27"
830,"16"
831,"11"
832,"18"
833,"8"
834,"11"
835,"15"
836,"9"
837,"15"
838,"10"
839,"15"
840,"8"
841,"9"
842,"6"
843,"11"
844,"14"
845,"10"
846,"7"
847,"10"
848,"12"
849,"6"
850,"8"
851,"13"
852,"7"
853,"8"
854,"12"
855,"9"
856,"8"
857,"8"
858,"7"
859,"16"
860,"7"
861,"7"
862,"5"
863,"9"
864,"6"
865,"4"
866,"12"
867,"3"
868,"5"
869,"6"
870,"4"
871,"1"
872,"9"
873,"4"
874,"3"
875,"7"
876,"5"
877,"2"
878,"5"
879,"2"
880,"3"
881,"1"
882,"4"
883,"6"
884,"6"
885,"3"
886,"6"
887,"4"
888,"8"
889,"7"
890,"8"
891,"1"
892,"4"
893,"6"
894,"0"
895,"7"
896,"2"
897,"3"
898,"6"
899,"3"
900,"4"
901,"2"
902,"6"
903,"3"
904,"1"
905,"2"
906,"3"
907,"2"
908,"4"
909,"2"
910,"2"
911,"1"
912,"1"
913,"2"
914,"4"
915,"3"
916,"2"
917,"0"
918,"2"
919,"1"
920,"2"
921,"1"
922,"4"
923,"1"
924,"2"
925,"2"
926,"3"
927,"1"
928,"3"
929,"1"
930,"0"
931,"3"
932,"1"
933,"5"
934,"2"
935,"3"
936,"1"
937,"1"
938,"3"
939,"1"
940,"2"
941,"0"
942,"2"
943,"2"
944,"1"
945,"2"
946,"1"
947,"2"
948,"4"
949,"2"
950,"5"
951,"2"
952,"3"
953,"8"
954,"9"
955,"14"
956,"8"
957,"13"
958,"7"
959,"9"
960,"9"
961,"5"
962,"7"
963,"6"
964,"4"
965,"2"
966,"5"
967,"4"
968,"4"
969,"2"
970,"2"
971,"0"
972,"2"
973,"3"
974,"1"
975,"0"
976,"4"
977,"0"
978,"2"
979,"1"
980,"1"
981,"3"
982,"1"
983,"1"
984,"0"
985,"3"
986,"0"
987,"6"
988,"3"
989,"6"
990,"3"
991,"4"
992,"8"
993,"5"
994,"3"
995,"4"
996,"2"
997,"4"
998,"3"
999,"0"
1000,"3"
1001,"2"
1002,"1"
1003,"1"
1004,"0"
1005,"2"
1006,"3"
1007,"2"
1008,"1"
1009,"3"
1010,"1"
1011,"1"
1012,"1"
1013,"0"
1014,"0"
1015,"1"
1016,"0"
1017,"0"
1018,"0"
1019,"0"
1020,"0"
1021,"2"
1022,"0"
1023,"0"
1024,"0"
1025,"1"
1026,"3"
1027,"0"
1028,"1"
1029,"2"
1030,"1"
1031,"1"
1032,"4"
1033,"3"
1034,"0"
1035,"0"
1036,"1"
1037,"1"
1038,"2"
1039,"0"
1040,"0"
1041,"3"
1042,"0"
1043,"0"
1044,"1"
1045,"2"
1046,"0"
1047,"0"
1048,"0"
1049,"0"
1050,"0"
1051,"1"
1052,"0"
1053,"0"
1054,"0"
1055,"1"
1056,"0"
1057,"1"
1058,"0"
1059,"1"
1060,"0"
1061,"1"
1062,"0"
1063,"0"
1064,"1"
1065,"0"
1066,"1"
1067,"0"
1068,"0"
1069,"0"
1070,"2"
1071,"0"
1072,"1"
1073,"0"
1074,"0"
1075,"0"
1076,"0"
1077,"1"
1078,"0"
1079,"1"
1080,"0"
1081,"0"
1082,"0"
1083,"0"
1084,"0"
1085,"2"
1086,"2"
1087,"1"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"1"
1093,"0"
1094,"0"
1095,"2"
1096,"1"
1097,"0"
1098,"0"
1099,"0"
1100,"0"
1101,"0"
1102,"0"
1103,"1"
1104,"0"
1105,"0"
1106,"0"
1107,"1"
1108,"0"
1109,"1"
1110,"0"
1111,"0"
1112,"0"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"1"
1119,"0"
1120,"0"
1121,"1"
1122,"1"
1123,"0"
1124,"0"
1125,"1"
1126,"1"
1127,"0"
1128,"0"
1129,"0"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"1"
1135,"0"
1136,"0"
1137,"0"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"0"
1143,"0"
1144,"0"
1145,"1"
1146,"0"
1147,"0"
1148,"0"
1149,"0"
1150,"0"
1151,"0"
1152,"0"
1153,"0"
1154,"0"
1155,"0"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"0"
1161,"1"
1162,"0"
1163,"0"
1164,"0"
1165,"0"
1166,"0"
1167,"0"
1168,"0"
1169,"0"
1170,"0"
1171,"0"
1172,"0"
1173,"0"
1174,"0"
1175,"0"
1176,"0"
1177,"0"
1178,"0"
1179,"0"
1180,"0"
1181,"0"
1182,"0"
1183,"0"
1184,"0"
1185,"0"
1186,"0"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"0"
1195,"0"
1196,"0"
1197,"1"
1198,"0"
1199,"0"
1200,"0"
1201,"1"
1202,"0"
1203,"0"
1204,"0"
1205,"0"
1206,"0"
1207,"0"
1208,"0"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"0"
1214,"0"
1215,"0"
1216,"0"
1217,"0"
1218,"0"
1219,"0"
1220,"0"
1221,"0"
1222,"0"
1223,"0"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"0"
1229,"0"
1230,"1"
1231,"0"
1232,"0"
1233,"0"
1234,"0"
1235,"0"
1236,"0"
1237,"0"
1238,"0"
1239,"0"
1240,"0"
1241,"0"
1242,"0"
1243,"0"
1244,"0"
1245,"0"
1246,"0"
1247,"0"
1248,"0"
1249,"0"
1250,"0"
1251,"0"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"0"
1258,"0"
1259,"0"
1260,"0"
1261,"0"
1262,"0"
1263,"0"
1264,"0"
1265,"0"
1266,"0"
1267,"0"
1268,"0"
1269,"0"
1270,"0"
1271,"0"
1272,"0"
1273,"0"
1274,"0"
1275,"0"
1276,"0"
1277,"0"
1278,"0"
1279,"0"
1280,"1"
1281,"0"
1282,"0"
1283,"0"
1284,"0"
1285,"0"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"0"
1300,"0"
1301,"0"
1302,"0"
1303,"0"
1304,"0"
1305,"0"
1306,"0"
1307,"0"
1308,"0"
1309,"0"
1310,"0"
1311,"0"
1312,"0"
1313,"0"
1314,"1"
1315,"0"
1316,"0"
1317,"0"
1318,"0"
1319,"0"
1320,"0"
1321,"0"
1322,"0"
1323,"0"
1324,"0"
1325,"0"
1326,"0"
1327,"0"
1328,"0"
1329,"0"
1330,"0"
1331,"0"
1332,"0"
1333,"0"
1334,"0"
1335,"0"
1336,"0"
1337,"0"
1338,"0"
1339,"0"
1340,"0"
1341,"0"
1342,"0"
1343,"0"
1344,"0"
1345,"0"
1346,"0"
1347,"0"
1348,"0"
1349,"0"
1350,"0"
1351,"0"
1352,"0"
1353,"0"
1354,"0"
1355,"0"
1356,"0"
1357,"0"
1358,"0"
1359,"0"
1360,"0"
1361,"0"
1362,"0"
1363,"0"
1364,"0"
1365,"0"
1366,"0"
1367,"0"
1368,"0"
1369,"0"
1370,"0"
1371,"0"
1372,"0"
1373,"0"
1374,"0"
1375,"0"
1376,"0"
1377,"0"
1378,"0"
1379,"0"
1380,"0"
1381,"0"
1382,"0"
1383,"0"
1384,"0"
1385,"0"
1386,"0"
1387,"0"
1388,"0"
1389,"0"
1390,"0"
1391,"0"
1392,"0"
1393,"0"
1394,"0"
1395,"0"
1396,"0"
1397,"0"
1398,"0"
1399,"0"
1400,"0"
1401,"0"
1402,"0"
1403,"0"
1404,"0"
1405,"0"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"0"
1412,"0"
1413,"0"
1414,"0"
1415,"0"
1416,"0"
1417,"0"
1418,"0"
1419,"0"
1420,"0"
1421,"0"
1422,"0"
1423,"0"
1424,"0"
1425,"0"
1426,"0"
1427,"0"
1428,"1"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"0"
1435,"0"
1436,"0"
1437,"0"
1438,"0"
1439,"0"
1440,"0"
1441,"0"
1442,"0"
1443,"0"
1444,"0"
1445,"0"
1446,"0"
1447,"0"
1448,"0"
1449,"0"
1450,"0"
1451,"0"
1452,"0"
1453,"0"
1454,"0"
1455,"0"
1456,"0"
1457,"0"
1458,"0"
1459,"0"
1460,"0"
1461,"0"
1462,"0"
1463,"0"
1464,"0"
1465,"0"
1466,"0"
1467,"0"
1468,"0"
1469,"0"
1470,"0"
1471,"0"
1472,"0"
1473,"0"
1474,"0"
1475,"0"
1476,"0"
1477,"0"
1478,"0"
1479,"0"
1480,"0"
1481,"0"
1482,"0"
1483,"0"
1484,"0"
1485,"0"
1486,"0"
1487,"0"
1488,"0"
1489,"0"
1490,"0"
1491,"0"
1492,"0"
1493,"0"
1494,"0"
1495,"0"
1496,"0"
1497,"0"
1498,"0"
1499,"0"
1500,"0"
1501,"0"
1502,"0"
1503,"0"
1504,"0"
1505,"0"
1506,"0"
1507,"0"
1508,"0"
1509,"0"
1510,"0"
1511,"0"
1512,"0"
1513,"0"
1514,"0"
1515,"0"
1516,"0"
1517,"0"
1518,"0"
1519,"0"
1520,"0"
1521,"0"
1522,"0"
1523,"0"
1524,"0"
1525,"0"
1526,"0"
1527,"0"
1528,"0"
1529,"0"
1530,"0"
1531,"0"
1532,"0"
1533,"0"
1534,"0"
1535,"0"
1536,"0"
1537,"0"
1538,"0"
1539,"0"
1540,"0"
1541,"0"
1542,"0"
1543,"0"
1544,"0"
1545,"0"
1546,"0"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"0"
1552,"0"
1553,"0"
1554,"0"
1555,"0"
1556,"0"
1557,"0"
1558,"0"
1559,"0"
1560,"0"
1561,"0"
1562,"0"
1563,"0"
1564,"0"
1565,"0"
1566,"0"
1567,"0"
1568,"0"
1569,"0"
1570,"0"
1571,"0"
1572,"0"
1573,"0"
1574,"0"
1575,"0"
1576,"0"
1577,"0"
1578,"0"
1579,"0"
1580,"0"
1581,"0"
1582,"0"
1583,"0"
1584,"0"
1585,"0"
1586,"0"
1587,"0"
1588,"0"
1589,"0"
1590,"0"
1591,"0"
1592,"0"
1593,"0"
1594,"0"
1595,"0"
1596,"0"
1597,"0"
1598,"0"
1599,"0"
1600,"0"
1601,"0"
1602,"0"
1603,"0"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"0"
1609,"0"
1610,"0"
1611,"0"
1612,"0"
1613,"0"
1614,"0"
1615,"0"
1616,"0"
1617,"0"
1618,"0"
1619,"0"
1620,"0"
1621,"0"
1622,"0"
1623,"0"
1624,"0"
1625,"0"
1626,"0"
1627,"0"
1628,"0"
1629,"0"
1630,"0"
1631,"0"
1632,"0"
1633,"0"
1634,"0"
1635,"0"
1636,"0"
1637,"0"
1638,"0"
1639,"0"
1640,"0"
1641,"0"
1642,"0"
1643,"0"
1644,"0"
1645,"0"
1646,"0"
1647,"0"
1648,"0"
1649,"0"
1650,"0"
1651,"0"
1652,"0"
1653,"0"
1654,"0"
1655,"0"
1656,"0"
1657,"0"
1658,"0"
1659,"0"
1660,"0"
1661,"0"
1662,"0"
1663,"0"
1664,"0"
1665,"0"
1666,"0"
1667,"0"
1668,"0"
1669,"0"
1670,"0"
1671,"0"
1672,"0"
1673,"0"
1674,"0"
1675,"0"
1676,"0"
1677,"0"
1678,"0"
1679,"0"
1680,"0"
1681,"0"
1682,"0"
1683,"0"
1684,"0"
1685,"0"
1686,"0"
1687,"0"
1688,"0"
1689,"0"
1690,"0"
1691,"0"
1692,"0"
1693,"0"
1694,"0"
1695,"0"
1696,"0"
1697,"0"
1698,"0"
1699,"0"
1700,"0"
1701,"0"
1702,"0"
1703,"0"
1704,"0"
1705,"0"
1706,"0"
1707,"0"
1708,"0"
1709,"0"
1710,"0"
1711,"0"
1712,"0"
1713,"0"
1714,"0"
1715,"0"
1716,"0"
1717,"0"
1718,"0"
1719,"0"
1720,"0"
1721,"0"
1722,"0"
1723,"0"
1724,"0"
1725,"0"
1726,"0"
1727,"0"
1728,"0"
1729,"0"
1730,"0"
1731,"0"
1732,"0"
1733,"0"
1734,"0"
1735,"0"
1736,"0"
1737,"0"
1738,"0"
1739,"0"
1740,"0"
1741,"0"
1742,"0"
1743,"0"
1744,"0"
1745,"0"
1746,"0"
1747,"0"
1748,"0"
1749,"0"
1750,"0"
1751,"0"
1752,"0"
1753,"0"
1754,"0"
1755,"0"
1756,"0"
1757,"0"
1758,"0"
1759,"0"
1760,"0"
1761,"0"
1762,"0"
1763,"0"
1764,"0"
1765,"0"
1766,"0"
1767,"0"
1768,"0"
1769,"0"
1770,"0"
1771,"0"
1772,"0"
1773,"0"
1774,"0"
1775,"0"
1776,"0"
1777,"0"
1778,"0"
1779,"0"
1780,"0"
1781,"0"
1782,"0"
1783,"0"
1784,"0"
1785,"0"
1786,"0"
1787,"0"
1788,"0"
1789,"0"
1790,"0"
1791,"0"
1792,"0"
1793,"0"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"0"
1799,"0"
1800,"0"
1801,"0"
1802,"0"
1803,"0"
1804,"0"
1805,"0"
1806,"0"
1807,"0"
1808,"0"
1809,"0"
1810,"0"
1811,"0"
1812,"0"
1813,"0"
1814,"0"
1815,"0"
1816,"0"
1817,"0"
1818,"0"
1819,"0"
1820,"0"
1821,"0"
1822,"0"
1823,"0"
1824,"0"
1825,"0"
1826,"0"
1827,"0"
1828,"0"
1829,"0"
1830,"0"
1831,"0"
1832,"0"
1833,"0"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"0"
1845,"0"
1846,"0"
1847,"0"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"0"
1855,"0"
1856,"0"
1857,"0"
1858,"0"
1859,"0"
1860,"0"
1861,"0"
1862,"0"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"0"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"0"
1877,"0"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"0"
1886,"0"
1887,"0"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
