Spectrum_JB-1b_#166_B1-10.0keV_2023-01-06_03-26-19_pm
JB-1b
323,"330160"
324,"223948"
325,"136513"
326,"77532"
327,"41412"
328,"23342"
329,"14437"
330,"10937"
331,"9626"
332,"9098"
333,"8945"
334,"8590"
335,"8769"
336,"8685"
337,"8845"
338,"8781"
339,"8796"
340,"9005"
341,"9213"
342,"9713"
343,"10483"
344,"11634"
345,"13985"
346,"18524"
347,"25804"
348,"36493"
349,"50650"
350,"65679"
351,"80593"
352,"88744"
353,"89538"
354,"82681"
355,"68332"
356,"52202"
357,"36285"
358,"24018"
359,"15983"
360,"10448"
361,"7767"
362,"6553"
363,"5986"
364,"5923"
365,"6352"
366,"6623"
367,"7093"
368,"7323"
369,"7649"
370,"7702"
371,"7447"
372,"7294"
373,"6822"
374,"6394"
375,"6070"
376,"5637"
377,"5470"
378,"5288"
379,"5067"
380,"5379"
381,"5324"
382,"5409"
383,"5339"
384,"5482"
385,"5500"
386,"5449"
387,"5386"
388,"5259"
389,"5209"
390,"5039"
391,"5056"
392,"5039"
393,"5074"
394,"4844"
395,"4790"
396,"4892"
397,"4762"
398,"4811"
399,"4769"
400,"4988"
401,"5219"
402,"5646"
403,"5954"
404,"6602"
405,"6985"
406,"7393"
407,"7453"
408,"7274"
409,"7192"
410,"6543"
411,"6152"
412,"5613"
413,"5171"
414,"4804"
415,"4647"
416,"4392"
417,"4323"
418,"3947"
419,"3965"
420,"4102"
421,"3878"
422,"4036"
423,"3936"
424,"3900"
425,"3974"
426,"3946"
427,"4031"
428,"3912"
429,"3799"
430,"3925"
431,"3787"
432,"3887"
433,"3872"
434,"3815"
435,"3866"
436,"3676"
437,"3927"
438,"3836"
439,"3704"
440,"3851"
441,"3684"
442,"3685"
443,"3620"
444,"3264"
445,"3371"
446,"3328"
447,"3187"
448,"3239"
449,"3239"
450,"3289"
451,"3272"
452,"3295"
453,"3346"
454,"3430"
455,"3420"
456,"3339"
457,"3115"
458,"3104"
459,"3024"
460,"2916"
461,"2807"
462,"2807"
463,"2718"
464,"2722"
465,"2481"
466,"2645"
467,"2530"
468,"2276"
469,"2319"
470,"2136"
471,"2084"
472,"2031"
473,"1905"
474,"1856"
475,"1744"
476,"1703"
477,"1705"
478,"1652"
479,"1726"
480,"1771"
481,"1716"
482,"1864"
483,"1812"
484,"1850"
485,"1879"
486,"1757"
487,"1702"
488,"1533"
489,"1477"
490,"1215"
491,"1118"
492,"1041"
493,"1034"
494,"1003"
495,"1063"
496,"1232"
497,"1482"
498,"1808"
499,"2365"
500,"3129"
501,"3826"
502,"4599"
503,"5024"
504,"5234"
505,"4996"
506,"4610"
507,"3863"
508,"3186"
509,"2316"
510,"1691"
511,"1189"
512,"870"
513,"710"
514,"673"
515,"698"
516,"777"
517,"910"
518,"1000"
519,"1066"
520,"1122"
521,"1002"
522,"983"
523,"870"
524,"735"
525,"575"
526,"511"
527,"445"
528,"403"
529,"362"
530,"410"
531,"537"
532,"594"
533,"663"
534,"737"
535,"887"
536,"996"
537,"1000"
538,"1010"
539,"1023"
540,"959"
541,"960"
542,"1015"
543,"1009"
544,"945"
545,"1010"
546,"904"
547,"869"
548,"774"
549,"668"
550,"633"
551,"524"
552,"467"
553,"411"
554,"393"
555,"376"
556,"344"
557,"362"
558,"317"
559,"294"
560,"276"
561,"320"
562,"345"
563,"352"
564,"359"
565,"349"
566,"371"
567,"330"
568,"352"
569,"330"
570,"304"
571,"294"
572,"288"
573,"303"
574,"314"
575,"342"
576,"320"
577,"354"
578,"339"
579,"340"
580,"297"
581,"332"
582,"277"
583,"245"
584,"301"
585,"275"
586,"305"
587,"302"
588,"291"
589,"311"
590,"297"
591,"318"
592,"333"
593,"310"
594,"270"
595,"303"
596,"267"
597,"274"
598,"252"
599,"252"
600,"261"
601,"203"
602,"227"
603,"178"
604,"233"
605,"186"
606,"217"
607,"250"
608,"230"
609,"272"
610,"257"
611,"294"
612,"305"
613,"301"
614,"293"
615,"296"
616,"308"
617,"255"
618,"292"
619,"251"
620,"227"
621,"228"
622,"248"
623,"213"
624,"254"
625,"221"
626,"219"
627,"212"
628,"269"
629,"336"
630,"376"
631,"509"
632,"689"
633,"994"
634,"1231"
635,"1620"
636,"2038"
637,"2311"
638,"2583"
639,"2671"
640,"2757"
641,"2517"
642,"2185"
643,"1860"
644,"1464"
645,"1124"
646,"826"
647,"623"
648,"424"
649,"316"
650,"249"
651,"220"
652,"194"
653,"186"
654,"176"
655,"183"
656,"179"
657,"178"
658,"183"
659,"169"
660,"180"
661,"180"
662,"224"
663,"224"
664,"303"
665,"336"
666,"430"
667,"544"
668,"698"
669,"762"
670,"823"
671,"852"
672,"961"
673,"904"
674,"826"
675,"695"
676,"590"
677,"456"
678,"375"
679,"324"
680,"239"
681,"187"
682,"151"
683,"140"
684,"116"
685,"115"
686,"140"
687,"130"
688,"122"
689,"127"
690,"114"
691,"131"
692,"137"
693,"105"
694,"129"
695,"117"
696,"108"
697,"128"
698,"139"
699,"113"
700,"117"
701,"168"
702,"148"
703,"157"
704,"143"
705,"147"
706,"143"
707,"143"
708,"133"
709,"135"
710,"121"
711,"109"
712,"97"
713,"89"
714,"69"
715,"75"
716,"87"
717,"82"
718,"70"
719,"92"
720,"83"
721,"87"
722,"94"
723,"100"
724,"80"
725,"100"
726,"91"
727,"93"
728,"82"
729,"88"
730,"89"
731,"99"
732,"80"
733,"72"
734,"83"
735,"76"
736,"87"
737,"84"
738,"72"
739,"56"
740,"84"
741,"69"
742,"62"
743,"59"
744,"70"
745,"56"
746,"72"
747,"60"
748,"70"
749,"81"
750,"56"
751,"48"
752,"56"
753,"69"
754,"61"
755,"65"
756,"54"
757,"69"
758,"51"
759,"63"
760,"64"
761,"57"
762,"68"
763,"74"
764,"45"
765,"40"
766,"54"
767,"48"
768,"45"
769,"62"
770,"49"
771,"48"
772,"52"
773,"47"
774,"51"
775,"72"
776,"41"
777,"48"
778,"53"
779,"43"
780,"41"
781,"41"
782,"39"
783,"31"
784,"41"
785,"36"
786,"45"
787,"41"
788,"37"
789,"40"
790,"42"
791,"34"
792,"34"
793,"41"
794,"34"
795,"34"
796,"20"
797,"23"
798,"26"
799,"34"
800,"37"
801,"41"
802,"30"
803,"33"
804,"29"
805,"28"
806,"27"
807,"24"
808,"16"
809,"24"
810,"24"
811,"18"
812,"24"
813,"18"
814,"23"
815,"21"
816,"28"
817,"20"
818,"18"
819,"30"
820,"32"
821,"28"
822,"34"
823,"30"
824,"26"
825,"27"
826,"25"
827,"18"
828,"20"
829,"27"
830,"18"
831,"17"
832,"15"
833,"15"
834,"8"
835,"5"
836,"16"
837,"8"
838,"10"
839,"11"
840,"11"
841,"10"
842,"14"
843,"7"
844,"10"
845,"10"
846,"5"
847,"8"
848,"7"
849,"9"
850,"12"
851,"12"
852,"13"
853,"7"
854,"10"
855,"5"
856,"11"
857,"8"
858,"5"
859,"9"
860,"7"
861,"8"
862,"7"
863,"13"
864,"4"
865,"8"
866,"8"
867,"6"
868,"8"
869,"4"
870,"4"
871,"8"
872,"5"
873,"8"
874,"5"
875,"5"
876,"2"
877,"1"
878,"5"
879,"4"
880,"2"
881,"6"
882,"2"
883,"6"
884,"6"
885,"8"
886,"1"
887,"6"
888,"2"
889,"5"
890,"5"
891,"5"
892,"4"
893,"1"
894,"6"
895,"2"
896,"5"
897,"3"
898,"3"
899,"4"
900,"4"
901,"1"
902,"3"
903,"0"
904,"4"
905,"1"
906,"3"
907,"2"
908,"6"
909,"4"
910,"2"
911,"3"
912,"3"
913,"5"
914,"3"
915,"6"
916,"3"
917,"2"
918,"0"
919,"1"
920,"1"
921,"1"
922,"2"
923,"2"
924,"2"
925,"2"
926,"1"
927,"4"
928,"3"
929,"3"
930,"4"
931,"1"
932,"1"
933,"3"
934,"1"
935,"1"
936,"2"
937,"2"
938,"5"
939,"2"
940,"0"
941,"1"
942,"2"
943,"1"
944,"2"
945,"0"
946,"3"
947,"2"
948,"2"
949,"3"
950,"4"
951,"2"
952,"4"
953,"3"
954,"3"
955,"5"
956,"5"
957,"12"
958,"5"
959,"5"
960,"2"
961,"11"
962,"2"
963,"12"
964,"10"
965,"4"
966,"3"
967,"5"
968,"3"
969,"1"
970,"4"
971,"3"
972,"5"
973,"0"
974,"2"
975,"1"
976,"0"
977,"0"
978,"2"
979,"1"
980,"0"
981,"1"
982,"0"
983,"1"
984,"5"
985,"3"
986,"3"
987,"3"
988,"4"
989,"1"
990,"0"
991,"2"
992,"5"
993,"6"
994,"3"
995,"6"
996,"6"
997,"2"
998,"1"
999,"0"
1000,"1"
1001,"1"
1002,"2"
1003,"1"
1004,"1"
1005,"1"
1006,"0"
1007,"1"
1008,"2"
1009,"3"
1010,"2"
1011,"0"
1012,"0"
1013,"2"
1014,"0"
1015,"4"
1016,"1"
1017,"2"
1018,"1"
1019,"0"
1020,"2"
1021,"0"
1022,"1"
1023,"2"
1024,"1"
1025,"1"
1026,"3"
1027,"1"
1028,"1"
1029,"1"
1030,"1"
1031,"2"
1032,"1"
1033,"0"
1034,"0"
1035,"0"
1036,"1"
1037,"0"
1038,"0"
1039,"1"
1040,"1"
1041,"0"
1042,"0"
1043,"3"
1044,"1"
1045,"0"
1046,"1"
1047,"0"
1048,"0"
1049,"0"
1050,"0"
1051,"0"
1052,"0"
1053,"0"
1054,"0"
1055,"0"
1056,"0"
1057,"3"
1058,"2"
1059,"1"
1060,"1"
1061,"1"
1062,"0"
1063,"1"
1064,"0"
1065,"1"
1066,"2"
1067,"0"
1068,"1"
1069,"2"
1070,"0"
1071,"1"
1072,"1"
1073,"0"
1074,"1"
1075,"0"
1076,"0"
1077,"0"
1078,"0"
1079,"0"
1080,"0"
1081,"0"
1082,"0"
1083,"1"
1084,"1"
1085,"0"
1086,"0"
1087,"0"
1088,"0"
1089,"1"
1090,"0"
1091,"2"
1092,"0"
1093,"1"
1094,"0"
1095,"1"
1096,"0"
1097,"0"
1098,"1"
1099,"2"
1100,"2"
1101,"0"
1102,"0"
1103,"0"
1104,"0"
1105,"0"
1106,"0"
1107,"0"
1108,"1"
1109,"0"
1110,"1"
1111,"1"
1112,"0"
1113,"0"
1114,"0"
1115,"1"
1116,"0"
1117,"0"
1118,"1"
1119,"0"
1120,"0"
1121,"0"
1122,"0"
1123,"0"
1124,"0"
1125,"0"
1126,"0"
1127,"0"
1128,"0"
1129,"0"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"1"
1135,"0"
1136,"0"
1137,"0"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"0"
1143,"1"
1144,"0"
1145,"0"
1146,"0"
1147,"0"
1148,"0"
1149,"0"
1150,"1"
1151,"0"
1152,"0"
1153,"0"
1154,"0"
1155,"0"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"0"
1161,"0"
1162,"0"
1163,"0"
1164,"0"
1165,"0"
1166,"0"
1167,"0"
1168,"0"
1169,"0"
1170,"0"
1171,"0"
1172,"0"
1173,"0"
1174,"0"
1175,"0"
1176,"0"
1177,"0"
1178,"1"
1179,"0"
1180,"0"
1181,"0"
1182,"0"
1183,"0"
1184,"0"
1185,"0"
1186,"0"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"0"
1195,"0"
1196,"0"
1197,"0"
1198,"0"
1199,"0"
1200,"0"
1201,"0"
1202,"0"
1203,"0"
1204,"0"
1205,"0"
1206,"0"
1207,"0"
1208,"0"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"0"
1214,"0"
1215,"0"
1216,"0"
1217,"0"
1218,"0"
1219,"0"
1220,"0"
1221,"1"
1222,"0"
1223,"0"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"0"
1229,"0"
1230,"0"
1231,"0"
1232,"0"
1233,"0"
1234,"0"
1235,"0"
1236,"0"
1237,"0"
1238,"1"
1239,"0"
1240,"0"
1241,"0"
1242,"0"
1243,"0"
1244,"0"
1245,"0"
1246,"0"
1247,"0"
1248,"0"
1249,"0"
1250,"0"
1251,"0"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"0"
1258,"0"
1259,"0"
1260,"0"
1261,"0"
1262,"0"
1263,"0"
1264,"0"
1265,"0"
1266,"0"
1267,"0"
1268,"0"
1269,"0"
1270,"0"
1271,"0"
1272,"0"
1273,"0"
1274,"0"
1275,"0"
1276,"0"
1277,"0"
1278,"0"
1279,"0"
1280,"0"
1281,"0"
1282,"0"
1283,"0"
1284,"0"
1285,"0"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"0"
1300,"0"
1301,"0"
1302,"0"
1303,"0"
1304,"0"
1305,"0"
1306,"0"
1307,"0"
1308,"0"
1309,"0"
1310,"0"
1311,"0"
1312,"0"
1313,"0"
1314,"0"
1315,"0"
1316,"0"
1317,"0"
1318,"0"
1319,"1"
1320,"0"
1321,"0"
1322,"0"
1323,"0"
1324,"0"
1325,"0"
1326,"0"
1327,"0"
1328,"0"
1329,"0"
1330,"0"
1331,"0"
1332,"0"
1333,"0"
1334,"0"
1335,"0"
1336,"0"
1337,"0"
1338,"0"
1339,"0"
1340,"0"
1341,"0"
1342,"0"
1343,"0"
1344,"0"
1345,"0"
1346,"0"
1347,"0"
1348,"0"
1349,"0"
1350,"0"
1351,"0"
1352,"0"
1353,"0"
1354,"0"
1355,"0"
1356,"0"
1357,"0"
1358,"0"
1359,"0"
1360,"0"
1361,"0"
1362,"0"
1363,"0"
1364,"0"
1365,"0"
1366,"0"
1367,"0"
1368,"0"
1369,"0"
1370,"0"
1371,"0"
1372,"0"
1373,"0"
1374,"0"
1375,"0"
1376,"0"
1377,"0"
1378,"0"
1379,"0"
1380,"0"
1381,"0"
1382,"0"
1383,"0"
1384,"0"
1385,"0"
1386,"0"
1387,"0"
1388,"0"
1389,"0"
1390,"0"
1391,"0"
1392,"0"
1393,"0"
1394,"0"
1395,"0"
1396,"0"
1397,"0"
1398,"0"
1399,"0"
1400,"0"
1401,"0"
1402,"0"
1403,"0"
1404,"0"
1405,"0"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"0"
1412,"0"
1413,"0"
1414,"0"
1415,"0"
1416,"0"
1417,"0"
1418,"0"
1419,"0"
1420,"0"
1421,"0"
1422,"0"
1423,"0"
1424,"0"
1425,"0"
1426,"0"
1427,"0"
1428,"0"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"0"
1435,"0"
1436,"0"
1437,"0"
1438,"0"
1439,"0"
1440,"0"
1441,"0"
1442,"0"
1443,"0"
1444,"0"
1445,"0"
1446,"0"
1447,"0"
1448,"0"
1449,"0"
1450,"0"
1451,"0"
1452,"0"
1453,"0"
1454,"0"
1455,"0"
1456,"0"
1457,"0"
1458,"0"
1459,"0"
1460,"0"
1461,"0"
1462,"0"
1463,"0"
1464,"0"
1465,"0"
1466,"0"
1467,"0"
1468,"0"
1469,"0"
1470,"0"
1471,"0"
1472,"0"
1473,"0"
1474,"0"
1475,"0"
1476,"0"
1477,"0"
1478,"0"
1479,"0"
1480,"0"
1481,"0"
1482,"0"
1483,"0"
1484,"0"
1485,"0"
1486,"0"
1487,"0"
1488,"0"
1489,"0"
1490,"0"
1491,"0"
1492,"0"
1493,"0"
1494,"0"
1495,"0"
1496,"0"
1497,"0"
1498,"0"
1499,"0"
1500,"0"
1501,"0"
1502,"0"
1503,"0"
1504,"0"
1505,"0"
1506,"0"
1507,"0"
1508,"0"
1509,"0"
1510,"0"
1511,"0"
1512,"0"
1513,"0"
1514,"0"
1515,"0"
1516,"0"
1517,"0"
1518,"0"
1519,"0"
1520,"0"
1521,"0"
1522,"0"
1523,"0"
1524,"0"
1525,"0"
1526,"0"
1527,"0"
1528,"0"
1529,"0"
1530,"0"
1531,"0"
1532,"0"
1533,"0"
1534,"0"
1535,"0"
1536,"0"
1537,"0"
1538,"0"
1539,"0"
1540,"0"
1541,"0"
1542,"0"
1543,"0"
1544,"0"
1545,"0"
1546,"0"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"0"
1552,"0"
1553,"0"
1554,"0"
1555,"0"
1556,"0"
1557,"0"
1558,"0"
1559,"0"
1560,"0"
1561,"0"
1562,"0"
1563,"0"
1564,"0"
1565,"0"
1566,"0"
1567,"0"
1568,"0"
1569,"0"
1570,"0"
1571,"0"
1572,"0"
1573,"0"
1574,"0"
1575,"0"
1576,"0"
1577,"0"
1578,"0"
1579,"0"
1580,"0"
1581,"0"
1582,"0"
1583,"0"
1584,"0"
1585,"0"
1586,"0"
1587,"0"
1588,"0"
1589,"0"
1590,"0"
1591,"0"
1592,"0"
1593,"0"
1594,"0"
1595,"0"
1596,"0"
1597,"0"
1598,"0"
1599,"0"
1600,"0"
1601,"0"
1602,"0"
1603,"0"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"0"
1609,"0"
1610,"0"
1611,"0"
1612,"0"
1613,"0"
1614,"0"
1615,"0"
1616,"0"
1617,"0"
1618,"0"
1619,"0"
1620,"0"
1621,"0"
1622,"0"
1623,"0"
1624,"0"
1625,"0"
1626,"0"
1627,"0"
1628,"0"
1629,"0"
1630,"0"
1631,"0"
1632,"0"
1633,"0"
1634,"0"
1635,"0"
1636,"0"
1637,"0"
1638,"0"
1639,"0"
1640,"0"
1641,"0"
1642,"0"
1643,"0"
1644,"0"
1645,"0"
1646,"0"
1647,"0"
1648,"0"
1649,"0"
1650,"0"
1651,"0"
1652,"0"
1653,"0"
1654,"0"
1655,"0"
1656,"0"
1657,"0"
1658,"0"
1659,"0"
1660,"0"
1661,"0"
1662,"0"
1663,"0"
1664,"0"
1665,"0"
1666,"0"
1667,"0"
1668,"0"
1669,"0"
1670,"0"
1671,"0"
1672,"0"
1673,"0"
1674,"0"
1675,"0"
1676,"0"
1677,"0"
1678,"0"
1679,"0"
1680,"0"
1681,"0"
1682,"0"
1683,"0"
1684,"0"
1685,"0"
1686,"0"
1687,"0"
1688,"0"
1689,"0"
1690,"0"
1691,"0"
1692,"0"
1693,"0"
1694,"0"
1695,"0"
1696,"0"
1697,"0"
1698,"0"
1699,"0"
1700,"0"
1701,"0"
1702,"0"
1703,"0"
1704,"0"
1705,"0"
1706,"0"
1707,"0"
1708,"0"
1709,"0"
1710,"0"
1711,"0"
1712,"0"
1713,"0"
1714,"0"
1715,"0"
1716,"0"
1717,"0"
1718,"0"
1719,"0"
1720,"0"
1721,"0"
1722,"0"
1723,"0"
1724,"0"
1725,"0"
1726,"0"
1727,"0"
1728,"0"
1729,"0"
1730,"0"
1731,"0"
1732,"0"
1733,"0"
1734,"0"
1735,"0"
1736,"0"
1737,"0"
1738,"0"
1739,"0"
1740,"0"
1741,"0"
1742,"0"
1743,"0"
1744,"0"
1745,"0"
1746,"0"
1747,"0"
1748,"0"
1749,"0"
1750,"0"
1751,"0"
1752,"0"
1753,"0"
1754,"0"
1755,"0"
1756,"0"
1757,"0"
1758,"0"
1759,"0"
1760,"0"
1761,"0"
1762,"0"
1763,"0"
1764,"0"
1765,"0"
1766,"0"
1767,"0"
1768,"0"
1769,"0"
1770,"0"
1771,"0"
1772,"0"
1773,"0"
1774,"0"
1775,"0"
1776,"0"
1777,"0"
1778,"0"
1779,"0"
1780,"0"
1781,"0"
1782,"0"
1783,"0"
1784,"0"
1785,"0"
1786,"0"
1787,"0"
1788,"0"
1789,"0"
1790,"0"
1791,"0"
1792,"0"
1793,"0"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"0"
1799,"0"
1800,"0"
1801,"0"
1802,"0"
1803,"0"
1804,"0"
1805,"0"
1806,"0"
1807,"0"
1808,"0"
1809,"0"
1810,"0"
1811,"0"
1812,"0"
1813,"0"
1814,"0"
1815,"0"
1816,"0"
1817,"0"
1818,"0"
1819,"0"
1820,"0"
1821,"0"
1822,"0"
1823,"0"
1824,"0"
1825,"0"
1826,"0"
1827,"0"
1828,"0"
1829,"0"
1830,"0"
1831,"0"
1832,"0"
1833,"0"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"0"
1845,"0"
1846,"0"
1847,"0"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"0"
1855,"0"
1856,"0"
1857,"0"
1858,"0"
1859,"0"
1860,"0"
1861,"0"
1862,"0"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"0"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"0"
1877,"0"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"0"
1886,"0"
1887,"0"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
