Spectrum_GH_#159_B1-10.0keV_2023-01-06_03-10-08_pm
GH
433,"5315"
434,"5347"
435,"5201"
436,"5185"
437,"5160"
438,"5084"
439,"5101"
440,"4962"
441,"5132"
442,"4747"
443,"4856"
444,"4730"
445,"4590"
446,"4644"
447,"4552"
448,"4458"
449,"4347"
450,"4269"
451,"4294"
452,"4180"
453,"4089"
454,"4093"
455,"3875"
456,"3924"
457,"3886"
458,"3744"
459,"3639"
460,"3642"
461,"3534"
462,"3518"
463,"3407"
464,"3355"
465,"3162"
466,"3118"
467,"3042"
468,"2844"
469,"2795"
470,"2698"
471,"2637"
472,"2478"
473,"2457"
474,"2418"
475,"2286"
476,"2154"
477,"2202"
478,"1991"
479,"2019"
480,"2017"
481,"2071"
482,"2012"
483,"1993"
484,"2012"
485,"1848"
486,"1818"
487,"1743"
488,"1581"
489,"1468"
490,"1418"
491,"1209"
492,"1176"
493,"1043"
494,"1008"
495,"907"
496,"886"
497,"878"
498,"840"
499,"809"
500,"697"
501,"732"
502,"700"
503,"637"
504,"638"
505,"553"
506,"490"
507,"466"
508,"396"
509,"347"
510,"335"
511,"281"
512,"258"
513,"281"
514,"283"
515,"238"
516,"245"
517,"250"
518,"241"
519,"212"
520,"242"
521,"193"
522,"191"
523,"137"
524,"193"
525,"158"
526,"162"
527,"165"
528,"152"
529,"129"
530,"133"
531,"154"
532,"153"
533,"137"
534,"146"
535,"142"
536,"143"
537,"151"
538,"164"
539,"148"
540,"122"
541,"131"
542,"135"
543,"115"
544,"150"
545,"126"
546,"138"
547,"144"
548,"132"
549,"123"
550,"133"
551,"120"
552,"122"
553,"128"
554,"113"
555,"116"
556,"143"
557,"128"
558,"123"
559,"117"
560,"109"
561,"113"
562,"118"
563,"110"
564,"100"
565,"106"
566,"119"
567,"118"
568,"118"
569,"112"
570,"114"
571,"132"
572,"114"
573,"106"
574,"116"
575,"117"
576,"95"
577,"101"
578,"96"
579,"115"
580,"101"
581,"102"
582,"96"
583,"91"
584,"111"
585,"122"
586,"90"
587,"106"
588,"92"
589,"108"
590,"100"
591,"112"
592,"96"
593,"99"
594,"96"
595,"85"
596,"103"
597,"97"
598,"102"
599,"96"
600,"104"
601,"92"
602,"91"
603,"89"
604,"69"
605,"48"
606,"94"
607,"96"
608,"70"
609,"89"
610,"90"
611,"90"
612,"75"
613,"105"
614,"86"
615,"120"
616,"87"
617,"103"
618,"81"
619,"66"
620,"82"
621,"84"
622,"75"
623,"79"
624,"101"
625,"66"
626,"71"
627,"66"
628,"80"
629,"67"
630,"61"
631,"81"
632,"94"
633,"113"
634,"107"
635,"123"
636,"123"
637,"148"
638,"163"
639,"160"
640,"156"
641,"156"
642,"129"
643,"122"
644,"87"
645,"112"
646,"84"
647,"89"
648,"67"
649,"61"
650,"67"
651,"51"
652,"53"
653,"56"
654,"58"
655,"51"
656,"43"
657,"83"
658,"58"
659,"42"
660,"53"
661,"43"
662,"70"
663,"61"
664,"70"
665,"64"
666,"67"
667,"79"
668,"60"
669,"70"
670,"79"
671,"74"
672,"84"
673,"86"
674,"77"
675,"61"
676,"65"
677,"69"
678,"58"
679,"50"
680,"46"
681,"36"
682,"51"
683,"53"
684,"40"
685,"41"
686,"38"
687,"41"
688,"45"
689,"42"
690,"35"
691,"39"
692,"40"
693,"43"
694,"43"
695,"47"
696,"39"
697,"43"
698,"45"
699,"32"
700,"41"
701,"40"
702,"44"
703,"41"
704,"31"
705,"39"
706,"37"
707,"32"
708,"44"
709,"26"
710,"37"
711,"46"
712,"39"
713,"46"
714,"41"
715,"38"
716,"29"
717,"42"
718,"29"
719,"35"
720,"25"
721,"38"
722,"38"
723,"35"
724,"37"
725,"33"
726,"26"
727,"40"
728,"44"
729,"41"
730,"36"
731,"28"
732,"29"
733,"33"
734,"45"
735,"29"
736,"28"
737,"23"
738,"29"
739,"38"
740,"36"
741,"24"
742,"31"
743,"28"
744,"31"
745,"32"
746,"27"
747,"26"
748,"19"
749,"27"
750,"29"
751,"37"
752,"26"
753,"24"
754,"29"
755,"29"
756,"19"
757,"29"
758,"21"
759,"21"
760,"25"
761,"32"
762,"38"
763,"24"
764,"22"
765,"25"
766,"26"
767,"14"
768,"16"
769,"27"
770,"19"
771,"8"
772,"19"
773,"21"
774,"16"
775,"18"
776,"23"
777,"17"
778,"25"
779,"20"
780,"23"
781,"21"
782,"18"
783,"18"
784,"12"
785,"23"
786,"22"
787,"18"
788,"15"
789,"20"
790,"17"
791,"16"
792,"16"
793,"19"
794,"27"
795,"9"
796,"15"
797,"17"
798,"14"
799,"16"
800,"6"
801,"15"
802,"19"
803,"12"
804,"14"
805,"9"
806,"12"
807,"8"
808,"6"
809,"11"
810,"12"
811,"12"
812,"10"
813,"7"
814,"8"
815,"14"
816,"8"
817,"6"
818,"6"
819,"9"
820,"4"
821,"8"
822,"9"
823,"5"
824,"9"
825,"9"
826,"10"
827,"8"
828,"9"
829,"8"
830,"8"
831,"6"
832,"4"
833,"6"
834,"4"
835,"5"
836,"3"
837,"4"
838,"5"
839,"3"
840,"2"
841,"2"
842,"4"
843,"2"
844,"8"
845,"4"
846,"4"
847,"3"
848,"4"
849,"4"
850,"8"
851,"5"
852,"3"
853,"3"
854,"5"
855,"8"
856,"0"
857,"2"
858,"3"
859,"3"
860,"3"
861,"1"
862,"3"
863,"1"
864,"1"
865,"2"
866,"3"
867,"4"
868,"3"
869,"2"
870,"3"
871,"5"
872,"3"
873,"1"
874,"4"
875,"1"
876,"3"
877,"3"
878,"1"
879,"3"
880,"1"
881,"4"
882,"1"
883,"3"
884,"4"
885,"3"
886,"5"
887,"1"
888,"1"
889,"2"
890,"3"
891,"6"
892,"2"
893,"2"
894,"2"
895,"1"
896,"1"
897,"2"
898,"3"
899,"0"
900,"1"
901,"1"
902,"3"
903,"1"
904,"3"
905,"1"
906,"1"
907,"2"
908,"3"
909,"0"
910,"0"
911,"0"
912,"1"
913,"1"
914,"0"
915,"3"
916,"0"
917,"0"
918,"1"
919,"2"
920,"0"
921,"1"
922,"1"
923,"3"
924,"0"
925,"0"
926,"0"
927,"0"
928,"1"
929,"0"
930,"1"
931,"0"
932,"2"
933,"0"
934,"1"
935,"0"
936,"1"
937,"1"
938,"0"
939,"1"
940,"0"
941,"0"
942,"0"
943,"1"
944,"1"
945,"1"
946,"1"
947,"0"
948,"0"
949,"0"
950,"0"
951,"1"
952,"0"
953,"1"
954,"0"
955,"0"
956,"0"
957,"1"
958,"0"
959,"0"
960,"0"
961,"0"
962,"0"
963,"0"
964,"0"
965,"0"
966,"0"
967,"1"
968,"1"
969,"0"
970,"0"
971,"0"
972,"0"
973,"0"
974,"1"
975,"0"
976,"1"
977,"1"
978,"0"
979,"1"
980,"0"
981,"0"
982,"0"
983,"0"
984,"1"
985,"0"
986,"0"
987,"0"
988,"1"
989,"0"
990,"0"
991,"0"
992,"0"
993,"0"
994,"0"
995,"0"
996,"0"
997,"0"
998,"0"
999,"0"
1000,"0"
1001,"1"
1002,"0"
1003,"0"
1004,"0"
1005,"0"
1006,"0"
1007,"0"
1008,"1"
1009,"0"
1010,"1"
1011,"0"
1012,"0"
1013,"1"
1014,"0"
1015,"0"
1016,"0"
1017,"1"
1018,"1"
1019,"0"
1020,"0"
1021,"0"
1022,"0"
1023,"0"
1024,"0"
1025,"0"
1026,"0"
1027,"0"
1028,"0"
1029,"0"
1030,"0"
1031,"0"
1032,"0"
1033,"0"
1034,"0"
1035,"0"
1036,"0"
1037,"0"
1038,"0"
1039,"0"
1040,"0"
1041,"0"
1042,"0"
1043,"0"
1044,"0"
1045,"0"
1046,"0"
1047,"0"
1048,"0"
1049,"0"
1050,"0"
1051,"0"
1052,"0"
1053,"0"
1054,"0"
1055,"0"
1056,"0"
1057,"0"
1058,"0"
1059,"0"
1060,"0"
1061,"0"
1062,"0"
1063,"0"
1064,"0"
1065,"0"
1066,"0"
1067,"0"
1068,"0"
1069,"0"
1070,"0"
1071,"0"
1072,"0"
1073,"0"
1074,"0"
1075,"0"
1076,"0"
1077,"0"
1078,"0"
1079,"0"
1080,"0"
1081,"0"
1082,"0"
1083,"0"
1084,"1"
1085,"0"
1086,"0"
1087,"0"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"0"
1093,"0"
1094,"0"
1095,"1"
1096,"0"
1097,"0"
1098,"0"
1099,"0"
1100,"0"
1101,"0"
1102,"0"
1103,"0"
1104,"0"
1105,"0"
1106,"0"
1107,"0"
1108,"0"
1109,"0"
1110,"0"
1111,"0"
1112,"0"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"0"
1119,"0"
1120,"0"
1121,"0"
1122,"0"
1123,"0"
1124,"0"
1125,"0"
1126,"0"
1127,"0"
1128,"0"
1129,"0"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"0"
1135,"0"
1136,"0"
1137,"0"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"0"
1143,"0"
1144,"0"
1145,"0"
1146,"0"
1147,"0"
1148,"0"
1149,"0"
1150,"0"
1151,"0"
1152,"0"
1153,"0"
1154,"0"
1155,"0"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"0"
1161,"0"
1162,"0"
1163,"0"
1164,"0"
1165,"0"
1166,"0"
1167,"0"
1168,"0"
1169,"0"
1170,"0"
1171,"0"
1172,"0"
1173,"0"
1174,"0"
1175,"0"
1176,"0"
1177,"0"
1178,"0"
1179,"0"
1180,"0"
1181,"0"
1182,"0"
1183,"0"
1184,"0"
1185,"0"
1186,"0"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"0"
1195,"0"
1196,"0"
1197,"0"
1198,"0"
1199,"0"
1200,"0"
1201,"0"
1202,"0"
1203,"0"
1204,"0"
1205,"0"
1206,"0"
1207,"0"
1208,"0"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"0"
1214,"0"
1215,"0"
1216,"0"
1217,"0"
1218,"0"
1219,"0"
1220,"0"
1221,"0"
1222,"0"
1223,"0"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"0"
1229,"0"
1230,"0"
1231,"0"
1232,"0"
1233,"0"
1234,"0"
1235,"0"
1236,"0"
1237,"0"
1238,"0"
1239,"0"
1240,"0"
1241,"0"
1242,"0"
1243,"0"
1244,"0"
1245,"0"
1246,"0"
1247,"0"
1248,"0"
1249,"0"
1250,"0"
1251,"0"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"0"
1258,"0"
1259,"0"
1260,"0"
1261,"0"
1262,"0"
1263,"0"
1264,"0"
1265,"0"
1266,"0"
1267,"0"
1268,"0"
1269,"0"
1270,"0"
1271,"0"
1272,"0"
1273,"0"
1274,"0"
1275,"0"
1276,"0"
1277,"0"
1278,"0"
1279,"0"
1280,"0"
1281,"0"
1282,"0"
1283,"0"
1284,"0"
1285,"0"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"0"
1300,"0"
1301,"0"
1302,"0"
1303,"0"
1304,"0"
1305,"0"
1306,"0"
1307,"0"
1308,"0"
1309,"0"
1310,"0"
1311,"0"
1312,"0"
1313,"0"
1314,"0"
1315,"0"
1316,"0"
1317,"0"
1318,"0"
1319,"0"
1320,"0"
1321,"0"
1322,"0"
1323,"0"
1324,"0"
1325,"0"
1326,"0"
1327,"0"
1328,"0"
1329,"0"
1330,"0"
1331,"0"
1332,"0"
1333,"0"
1334,"0"
1335,"0"
1336,"0"
1337,"0"
1338,"0"
1339,"0"
1340,"0"
1341,"0"
1342,"0"
1343,"0"
1344,"0"
1345,"0"
1346,"0"
1347,"0"
1348,"0"
1349,"0"
1350,"0"
1351,"0"
1352,"0"
1353,"0"
1354,"0"
1355,"0"
1356,"0"
1357,"0"
1358,"0"
1359,"0"
1360,"0"
1361,"0"
1362,"0"
1363,"0"
1364,"0"
1365,"0"
1366,"0"
1367,"0"
1368,"0"
1369,"0"
1370,"0"
1371,"0"
1372,"0"
1373,"0"
1374,"0"
1375,"0"
1376,"0"
1377,"0"
1378,"0"
1379,"0"
1380,"0"
1381,"0"
1382,"0"
1383,"0"
1384,"0"
1385,"0"
1386,"0"
1387,"0"
1388,"0"
1389,"0"
1390,"0"
1391,"0"
1392,"0"
1393,"0"
1394,"0"
1395,"0"
1396,"0"
1397,"0"
1398,"0"
1399,"0"
1400,"0"
1401,"0"
1402,"0"
1403,"0"
1404,"0"
1405,"0"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"0"
1412,"0"
1413,"0"
1414,"0"
1415,"0"
1416,"0"
1417,"0"
1418,"0"
1419,"0"
1420,"0"
1421,"0"
1422,"0"
1423,"0"
1424,"0"
1425,"0"
1426,"0"
1427,"0"
1428,"0"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"0"
1435,"0"
1436,"0"
1437,"0"
1438,"0"
1439,"0"
1440,"0"
1441,"0"
1442,"0"
1443,"0"
1444,"0"
1445,"0"
1446,"0"
1447,"0"
1448,"0"
1449,"0"
1450,"0"
1451,"0"
1452,"0"
1453,"0"
1454,"0"
1455,"0"
1456,"0"
1457,"0"
1458,"0"
1459,"0"
1460,"0"
1461,"0"
1462,"0"
1463,"0"
1464,"0"
1465,"0"
1466,"0"
1467,"0"
1468,"0"
1469,"0"
1470,"0"
1471,"0"
1472,"0"
1473,"0"
1474,"0"
1475,"0"
1476,"0"
1477,"0"
1478,"0"
1479,"0"
1480,"0"
1481,"0"
1482,"0"
1483,"0"
1484,"0"
1485,"0"
1486,"0"
1487,"0"
1488,"0"
1489,"0"
1490,"0"
1491,"0"
1492,"0"
1493,"0"
1494,"0"
1495,"0"
1496,"0"
1497,"0"
1498,"0"
1499,"0"
1500,"0"
1501,"0"
1502,"0"
1503,"0"
1504,"0"
1505,"0"
1506,"0"
1507,"0"
1508,"0"
1509,"0"
1510,"0"
1511,"0"
1512,"0"
1513,"0"
1514,"0"
1515,"0"
1516,"0"
1517,"0"
1518,"0"
1519,"0"
1520,"0"
1521,"0"
1522,"0"
1523,"0"
1524,"0"
1525,"0"
1526,"0"
1527,"0"
1528,"0"
1529,"0"
1530,"0"
1531,"0"
1532,"0"
1533,"0"
1534,"0"
1535,"0"
1536,"0"
1537,"0"
1538,"0"
1539,"0"
1540,"0"
1541,"0"
1542,"0"
1543,"0"
1544,"0"
1545,"0"
1546,"0"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"0"
1552,"0"
1553,"0"
1554,"0"
1555,"0"
1556,"0"
1557,"0"
1558,"0"
1559,"0"
1560,"0"
1561,"0"
1562,"0"
1563,"0"
1564,"0"
1565,"0"
1566,"0"
1567,"0"
1568,"0"
1569,"0"
1570,"0"
1571,"0"
1572,"0"
1573,"0"
1574,"0"
1575,"0"
1576,"0"
1577,"0"
1578,"0"
1579,"0"
1580,"0"
1581,"0"
1582,"0"
1583,"0"
1584,"0"
1585,"0"
1586,"0"
1587,"0"
1588,"0"
1589,"0"
1590,"0"
1591,"0"
1592,"0"
1593,"0"
1594,"0"
1595,"0"
1596,"0"
1597,"0"
1598,"0"
1599,"0"
1600,"0"
1601,"0"
1602,"0"
1603,"0"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"0"
1609,"0"
1610,"0"
1611,"0"
1612,"0"
1613,"0"
1614,"0"
1615,"0"
1616,"0"
1617,"0"
1618,"0"
1619,"0"
1620,"0"
1621,"0"
1622,"0"
1623,"0"
1624,"0"
1625,"0"
1626,"0"
1627,"0"
1628,"0"
1629,"0"
1630,"0"
1631,"0"
1632,"0"
1633,"0"
1634,"0"
1635,"0"
1636,"0"
1637,"0"
1638,"0"
1639,"0"
1640,"0"
1641,"0"
1642,"0"
1643,"0"
1644,"0"
1645,"0"
1646,"0"
1647,"0"
1648,"0"
1649,"0"
1650,"0"
1651,"0"
1652,"0"
1653,"0"
1654,"0"
1655,"0"
1656,"0"
1657,"0"
1658,"0"
1659,"0"
1660,"0"
1661,"0"
1662,"0"
1663,"0"
1664,"0"
1665,"0"
1666,"0"
1667,"0"
1668,"0"
1669,"0"
1670,"0"
1671,"0"
1672,"0"
1673,"0"
1674,"0"
1675,"0"
1676,"0"
1677,"0"
1678,"0"
1679,"0"
1680,"0"
1681,"0"
1682,"0"
1683,"0"
1684,"0"
1685,"0"
1686,"0"
1687,"0"
1688,"0"
1689,"0"
1690,"0"
1691,"0"
1692,"0"
1693,"0"
1694,"0"
1695,"0"
1696,"0"
1697,"0"
1698,"0"
1699,"0"
1700,"0"
1701,"0"
1702,"0"
1703,"0"
1704,"0"
1705,"0"
1706,"0"
1707,"0"
1708,"0"
1709,"0"
1710,"0"
1711,"0"
1712,"0"
1713,"0"
1714,"0"
1715,"0"
1716,"0"
1717,"0"
1718,"0"
1719,"0"
1720,"0"
1721,"0"
1722,"0"
1723,"0"
1724,"0"
1725,"0"
1726,"0"
1727,"0"
1728,"0"
1729,"0"
1730,"0"
1731,"0"
1732,"0"
1733,"0"
1734,"0"
1735,"0"
1736,"0"
1737,"0"
1738,"0"
1739,"0"
1740,"0"
1741,"0"
1742,"0"
1743,"0"
1744,"0"
1745,"0"
1746,"0"
1747,"0"
1748,"0"
1749,"0"
1750,"0"
1751,"0"
1752,"0"
1753,"0"
1754,"0"
1755,"0"
1756,"0"
1757,"0"
1758,"0"
1759,"0"
1760,"0"
1761,"0"
1762,"0"
1763,"0"
1764,"0"
1765,"0"
1766,"0"
1767,"0"
1768,"0"
1769,"0"
1770,"0"
1771,"0"
1772,"0"
1773,"0"
1774,"0"
1775,"0"
1776,"0"
1777,"0"
1778,"0"
1779,"0"
1780,"0"
1781,"0"
1782,"0"
1783,"0"
1784,"0"
1785,"0"
1786,"0"
1787,"0"
1788,"0"
1789,"0"
1790,"0"
1791,"0"
1792,"0"
1793,"0"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"0"
1799,"0"
1800,"0"
1801,"0"
1802,"0"
1803,"0"
1804,"0"
1805,"0"
1806,"0"
1807,"0"
1808,"0"
1809,"0"
1810,"0"
1811,"0"
1812,"0"
1813,"0"
1814,"0"
1815,"0"
1816,"0"
1817,"0"
1818,"0"
1819,"0"
1820,"0"
1821,"0"
1822,"0"
1823,"0"
1824,"0"
1825,"0"
1826,"0"
1827,"0"
1828,"0"
1829,"0"
1830,"0"
1831,"0"
1832,"0"
1833,"0"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"0"
1845,"0"
1846,"0"
1847,"0"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"0"
1855,"0"
1856,"0"
1857,"0"
1858,"0"
1859,"0"
1860,"0"
1861,"0"
1862,"0"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"0"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"0"
1877,"0"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"0"
1886,"0"
1887,"0"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
